problem_name,problem_approach,n,p,run_id,cycles,instructions,cache-references,cache-misses,bus-cycles,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,dTLB-loads,dTLB-load-misses,LLC-loads,LLC-load-misses,LLC-stores,branches,branch-misses,context-switches,cpu-migrations,page-faults
divide_and_conquer,pi_reduction,50000,0,1,3577222.0,2508626.0,52452.0,20248.0,347382.0,729452.0,100534.0,32279.0,6416.0,5220.0,430980.0,13085.0,7.0,2.0,82.0
divide_and_conquer,pi_reduction,50000,0,3,11083100.0,3905786.0,171199.0,86877.0,510963.0,580373.0,65474.0,1093942.0,2459191.0,8409.0,56492.0,49756.0,18667.0,654315.0,27191.0,49.0,2.0,82.0
divide_and_conquer,pi_reduction,50000,0,2,4805109.0,2736502.0,71079.0,23716.0,263620.0,372672.0,234530.0,1393581.0,608074.0,8634.0,31091.0,17966.0,7181.0,455522.0,15721.0,19.0,4.0,81.0
divide_and_conquer,pi_reduction,50000,0,5,5705177.0,2893087.0,83926.0,43180.0,315138.0,1332755.0,23593.0,336197.0,1438339.0,12132.0,15062.0,8365.0,7335.0,553718.0,20700.0,39.0,4.0,81.0
divide_and_conquer,pi_reduction,50000,0,4,5977953.0,2843119.0,82601.0,30266.0,354012.0,2035373.0,42810.0,120461.0,1099275.0,10416.0,25495.0,25259.0,2596.0,495516.0,17668.0,23.0,3.0,80.0
divide_and_conquer,pi_reduction,10,0,1,2746462.0,1446034.0,45664.0,17471.0,157032.0,346405.0,102497.0,415200.0,51481.0,16106.0,302467.0,11927.0,7.0,1.0,79.0
divide_and_conquer,pi_reduction,10,0,3,3790990.0,1662073.0,66365.0,18862.0,218080.0,1198171.0,364261.0,958335.0,1357238.0,57990.0,121246.0,61087.0,18774.0,360056.0,15387.0,19.0,2.0,80.0
divide_and_conquer,pi_reduction,10,0,2,9601034.0,5006332.0,234454.0,69068.0,607366.0,2460241.0,33881.0,80048.0,163831.0,9017.0,174949.0,70030.0,8651.0,344072.0,15123.0,19.0,3.0,81.0
divide_and_conquer,pi_reduction,10,0,5,3810161.0,1757432.0,73918.0,29214.0,259438.0,2602313.0,36124.0,76231.0,52357.0,9303.0,25992.0,15689.0,934.0,353106.0,15513.0,15.0,3.0,81.0
divide_and_conquer,pi_reduction,10,0,4,3621247.0,1624537.0,72272.0,27896.0,226593.0,2403918.0,88620.0,65719.0,57969.0,8711.0,28046.0,16370.0,861.0,356186.0,17033.0,21.0,2.0,79.0
divide_and_conquer,pi_reduction,100,0,1,2966986.0,2367887.0,60626.0,30131.0,218703.0,355534.0,103285.0,434238.0,12591.0,6386.0,318973.0,11818.0,7.0,2.0,80.0
divide_and_conquer,pi_reduction,100,0,3,13578350.0,5222855.0,274337.0,106250.0,683646.0,335234.0,57628.0,945027.0,3110127.0,231854.0,97859.0,32203.0,3129953.0,108066.0,172.0,22.0,96.0
divide_and_conquer,pi_reduction,100,0,2,3614474.0,1612350.0,69608.0,20737.0,269170.0,690681.0,29251.0,121999.0,1020170.0,24484.0,39955.0,14983.0,1997.0,362652.0,15956.0,19.0,2.0,78.0
divide_and_conquer,pi_reduction,100,0,5,3980899.0,1601695.0,63095.0,33399.0,210985.0,251471.0,29754.0,671881.0,1347757.0,27094.0,20660.0,819.0,410326.0,18522.0,27.0,4.0,80.0
divide_and_conquer,pi_reduction,100,0,4,4224256.0,1776484.0,73446.0,27604.0,252372.0,1199317.0,259785.0,209873.0,167851.0,3981.0,153957.0,5944.0,16929.0,356959.0,16940.0,19.0,3.0,82.0
divide_and_conquer,pi_reduction,1000,0,1,4234783.0,1979081.0,81745.0,38190.0,283491.0,716731.0,151176.0,239748.0,293402.0,58270.0,26300.0,317796.0,12888.0,7.0,2.0,78.0
divide_and_conquer,pi_reduction,1000,0,3,44732999.0,21845135.0,648715.0,288782.0,1694170.0,4084233.0,518497.0,3043025.0,8351560.0,21930.0,233106.0,281105.0,38285.0,5906783.0,196486.0,360.0,45.0,119.0
divide_and_conquer,pi_reduction,1000,0,2,4682624.0,1864596.0,82050.0,39222.0,238635.0,3341343.0,365815.0,1116626.0,940348.0,22190.0,32159.0,7628.0,1641.0,8217871.0,182542.0,44.0,5.0,114.0
divide_and_conquer,pi_reduction,1000,0,5,3480830.0,1614582.0,64381.0,22191.0,251090.0,3792745.0,33942.0,63099.0,519510.0,8794.0,31689.0,3493.0,6856.0,347694.0,16750.0,21.0,3.0,78.0
divide_and_conquer,pi_reduction,1000,0,4,4718305.0,1811452.0,87612.0,55606.0,428335.0,1875976.0,28391.0,99053.0,602101.0,10808.0,32065.0,17060.0,1243.0,395684.0,17471.0,25.0,3.0,81.0
divide_and_conquer,pi_reduction,10,4,1,34969195.0,11800448.0,633173.0,236418.0,1476255.0,4183669.0,309824.0,788157.0,705043.0,3428.0,195842.0,96154.0,25319.0,5440183.0,169960.0,222.0,26.0,316.0
divide_and_conquer,pi_reduction,10,4,3,40054867.0,15379919.0,131304.0,70697.0,1471820.0,5297022.0,77189.0,703107.0,5922438.0,5986.0,40441.0,18476.0,3730.0,3728578.0,44598.0,63.0,7.0,101.0
divide_and_conquer,pi_reduction,10,4,2,37151820.0,14340560.0,241741.0,96273.0,1636334.0,1053068.0,236314.0,495385.0,614887.0,5321.0,32811.0,20275.0,10067.0,1865273.0,26827.0,49.0,11.0,98.0
divide_and_conquer,pi_reduction,10,4,5,20144001.0,7699156.0,120367.0,59038.0,828606.0,3054230.0,654619.0,3819558.0,1096639.0,17996.0,51288.0,33731.0,5596.0,4447846.0,35286.0,68.0,5.0,101.0
divide_and_conquer,pi_reduction,10,4,4,41313607.0,15395652.0,144967.0,74671.0,1568180.0,572880.0,75725.0,704330.0,1399139.0,9417.0,50888.0,20005.0,3366.0,1789115.0,26511.0,45.0,9.0,99.0
divide_and_conquer,pi_reduction,100,4,1,35597919.0,14245446.0,115155.0,34575.0,1462704.0,4057589.0,787458.0,2471126.0,2021979.0,17108.0,51791.0,11909.0,3758.0,874875.0,24664.0,48.0,8.0,99.0
divide_and_conquer,pi_reduction,100,4,3,32634344.0,13349306.0,136683.0,57366.0,1294089.0,752662.0,60639.0,652278.0,1584244.0,6759.0,52041.0,24651.0,2932.0,3431321.0,27499.0,49.0,4.0,98.0
divide_and_conquer,pi_reduction,100,4,2,18475063.0,7668802.0,139406.0,92722.0,1552793.0,674056.0,234449.0,1004274.0,906697.0,5942.0,315624.0,111984.0,40093.0,9719079.0,224803.0,360.0,41.0,137.0
divide_and_conquer,pi_reduction,100,4,5,35565333.0,13363976.0,193065.0,116641.0,1424703.0,1131155.0,91888.0,1116730.0,4047444.0,9877.0,40917.0,30706.0,11872.0,3780148.0,41222.0,105.0,13.0,99.0
divide_and_conquer,pi_reduction,100,4,4,16691681.0,5743378.0,129160.0,80595.0,709418.0,1179402.0,250257.0,596064.0,864488.0,4448.0,48012.0,24669.0,5722.0,700989.0,30811.0,84.0,12.0,100.0
divide_and_conquer,pi_reduction,50000,4,1,17623410.0,8067605.0,126189.0,32177.0,713907.0,788880.0,81752.0,997449.0,3995367.0,9776.0,40366.0,21003.0,8582.0,2300052.0,25904.0,47.0,5.0,99.0
divide_and_conquer,pi_reduction,50000,4,3,36179361.0,14577213.0,161679.0,68710.0,1505938.0,5522096.0,214600.0,1065818.0,515774.0,10153.0,66164.0,17019.0,9882.0,3639493.0,59217.0,156.0,14.0,114.0
divide_and_conquer,pi_reduction,50000,4,2,45643749.0,18443947.0,348601.0,124450.0,1721288.0,6141441.0,317264.0,386251.0,3618618.0,24047.0,143942.0,20609.0,21125.0,17271514.0,308242.0,313.0,28.0,155.0
divide_and_conquer,pi_reduction,50000,4,5,20284276.0,8110024.0,158022.0,103652.0,868774.0,2990662.0,303670.0,808062.0,1619639.0,15636.0,63820.0,35869.0,8339.0,5411866.0,35919.0,72.0,11.0,101.0
divide_and_conquer,pi_reduction,50000,4,4,24213195.0,8483154.0,390136.0,108649.0,1018053.0,3842521.0,241716.0,1006607.0,782146.0,7526.0,57731.0,16004.0,4007.0,2464016.0,29201.0,50.0,7.0,98.0
divide_and_conquer,pi_reduction,1000,3,1,6902533.0,2502891.0,116822.0,45272.0,345099.0,5769720.0,1149229.0,1557898.0,1069496.0,21322.0,39072.0,26866.0,2278.0,574318.0,24840.0,51.0,7.0,98.0
divide_and_conquer,pi_reduction,1000,3,3,7630892.0,2722578.0,121010.0,42589.0,374271.0,1813863.0,661009.0,6132950.0,9547531.0,27385.0,45094.0,23776.0,2151.0,533541.0,23049.0,39.0,4.0,97.0
divide_and_conquer,pi_reduction,1000,3,2,40567243.0,16573485.0,681652.0,264564.0,1543486.0,1581411.0,244335.0,501054.0,510004.0,11636.0,41264.0,17231.0,10588.0,1676025.0,72595.0,126.0,11.0,98.0
divide_and_conquer,pi_reduction,1000,3,5,16705126.0,6564754.0,133221.0,80966.0,697680.0,407227.0,241107.0,987095.0,624743.0,4909.0,49302.0,36490.0,2419.0,1476846.0,29614.0,53.0,5.0,98.0
divide_and_conquer,pi_reduction,1000,3,4,21833582.0,7610433.0,247651.0,89466.0,994923.0,581426.0,252844.0,1190262.0,2684116.0,7052.0,37934.0,24655.0,1979.0,518150.0,22266.0,40.0,5.0,96.0
divide_and_conquer,pi_reduction,1000,2,1,89068632.0,30205292.0,1520188.0,551699.0,3561661.0,914197.0,213123.0,924550.0,3292565.0,47126.0,46669.0,16196.0,8944.0,5742343.0,164860.0,40.0,6.0,97.0
